Ticket;Open;Type;Volume;Symbol;Price;SL;TP;Close;Price;Swap;Commissions;Profit;Pips;"Trade duration in seconds"
325347550;"2024-12-18 20:00:15";buy;0.63;GBPUSD;1.27056;0;1.27173;"2024-12-18 20:45:51";1.27177;0;-1.89;76.23;12.1;2736
325316698;"2024-12-18 16:00:16";buy;0.56;EURUSD;1.04927;0;1.04899;"2024-12-18 20:34:36";1.04902;0;-1.68;-14;-2.5;16460
325343776;"2024-12-18 19:00:09";buy;0.68;EURUSD;1.04694;0;1.049;"2024-12-18 20:34:36";1.04902;0;-2.04;141.44;20.8;5667
325316702;"2024-12-18 16:00:17";buy;0.56;EURUSD;1.04932;0;1.049;"2024-12-18 20:34:36";1.04902;0;-1.68;-16.8;-3;16459
325337900;"2024-12-18 18:00:11";buy;0.62;EURUSD;1.04739;0;1.049;"2024-12-18 20:34:36";1.04902;0;-1.86;101.06;16.3;9265
325337897;"2024-12-18 18:00:10";buy;0.62;EURUSD;1.04739;0;1.04899;"2024-12-18 20:34:35";1.04897;0;-1.86;97.96;15.8;9265
325343785;"2024-12-18 19:00:13";buy;0.68;EURUSD;1.04695;0;1.04899;"2024-12-18 20:34:35";1.04899;0;-2.04;138.72;20.4;5662
325328071;"2024-12-18 17:00:21";buy;0.63;GBPUSD;1.27;0;1.2707;"2024-12-18 19:35:03";1.2707;0;-1.89;44.1;7;9282
325328059;"2024-12-18 17:00:20";buy;0.63;GBPUSD;1.26998;0;1.27069;"2024-12-18 19:35:03";1.2707;0;-1.89;45.36;7.2;9283
325337946;"2024-12-18 18:00:18";buy;0.69;GBPUSD;1.26926;0;1.2707;"2024-12-18 19:35:03";1.2707;0;-2.07;99.36;14.4;5685
325337953;"2024-12-18 18:00:18";buy;0.69;GBPUSD;1.26926;0;1.27069;"2024-12-18 19:35:02";1.27064;0;-2.07;95.22;13.8;5684
325328051;"2024-12-18 17:00:19";sell;0.63;GBPUSD;1.26972;0;1.26871;"2024-12-18 18:06:51";1.26877;0;-1.89;59.85;9.5;3992
325316693;"2024-12-18 16:00:15";sell;0.56;EURUSD;1.04929;0;1.04812;"2024-12-18 17:49:09";1.0481;0;-1.68;66.64;11.9;6534
325289930;"2024-12-18 11:00:16";sell;0.63;GBPUSD;1.26874;0;1.26905;"2024-12-18 16:00:12";1.26907;0;-1.89;-20.79;-3.3;17996
325296896;"2024-12-18 13:00:20";sell;0.69;GBPUSD;1.27154;0;1.26905;"2024-12-18 16:00:12";1.26907;0;-2.07;170.43;24.7;10792
325289929;"2024-12-18 11:00:15";sell;0.63;GBPUSD;1.26873;0;1.26905;"2024-12-18 16:00:12";1.26907;0;-1.89;-21.42;-3.4;17997
325296894;"2024-12-18 13:00:19";sell;0.69;GBPUSD;1.27154;0;1.26905;"2024-12-18 16:00:12";1.26907;0;-2.07;170.43;24.7;10793
325289928;"2024-12-18 11:00:14";sell;0.63;GBPUSD;1.26879;0;1.26909;"2024-12-18 16:00:00";1.26911;0;-1.89;-20.16;-3.2;17986
325296892;"2024-12-18 13:00:18";sell;0.69;GBPUSD;1.27154;0;1.26909;"2024-12-18 16:00:00";1.26911;0;-2.07;167.67;24.3;10782
325296888;"2024-12-18 13:00:17";sell;0.62;EURUSD;1.0499;0;1.04845;"2024-12-18 15:22:26";1.04845;0;-1.86;89.9;14.5;8529
325296884;"2024-12-18 13:00:15";sell;0.62;EURUSD;1.04989;0;1.04846;"2024-12-18 15:22:26";1.04845;0;-1.86;89.28;14.4;8531
325296875;"2024-12-18 13:00:11";sell;0.62;EURUSD;1.04991;0;1.04846;"2024-12-18 15:22:26";1.04845;0;-1.86;90.52;14.6;8535
325289931;"2024-12-18 11:00:16";sell;0.56;EURUSD;1.04936;0;1.04846;"2024-12-18 15:22:26";1.04845;0;-1.68;50.96;9.1;15730
325289933;"2024-12-18 11:00:17";sell;0.56;EURUSD;1.04936;0;1.04845;"2024-12-18 15:22:26";1.04845;0;-1.68;50.96;9.1;15729
325289932;"2024-12-18 11:00:17";sell;0.56;EURUSD;1.04936;0;1.04846;"2024-12-18 15:22:26";1.04845;0;-1.68;50.96;9.1;15729
325281907;"2024-12-18 09:00:53";buy;0.63;GBPUSD;1.27054;0;1.27101;"2024-12-18 10:08:49";1.26809;0;-1.89;-154.35;-24.5;4076
325285039;"2024-12-18 10:00:11";buy;0.69;GBPUSD;1.26904;0;1.27102;"2024-12-18 10:08:48";1.26807;0;-2.07;-66.93;-9.7;517
325281905;"2024-12-18 09:00:26";sell;0.82;EURUSD;1.05107;0;1.04884;"2024-12-18 10:08:48";1.04933;0;-2.46;142.68;17.4;4102
325281894;"2024-12-18 09:00:18";sell;0.82;EURUSD;1.05109;0;1.04884;"2024-12-18 10:08:47";1.04934;0;-2.46;143.5;17.5;4109
325281904;"2024-12-18 09:00:53";buy;0.63;GBPUSD;1.27054;0;1.27102;"2024-12-18 10:08:46";1.26814;0;-1.89;-151.2;-24;4073
325267325;"2024-12-18 02:00:13";sell;0.68;EURUSD;1.0494;0;1.04861;"2024-12-18 10:08:45";1.04935;0;-2.04;3.4;0.5;29312
325281893;"2024-12-18 09:00:17";sell;0.82;EURUSD;1.05109;0;1.04861;"2024-12-18 10:08:44";1.04935;0;-2.46;142.68;17.4;4107
325269652;"2024-12-18 03:00:16";sell;0.74;EURUSD;1.05003;0;1.04861;"2024-12-18 10:08:44";1.04934;0;-2.22;51.06;6.9;25708
325285041;"2024-12-18 10:00:12";buy;0.69;GBPUSD;1.26905;0;1.27101;"2024-12-18 10:08:35";1.26797;0;-2.07;-74.52;-10.8;503
325274176;"2024-12-18 05:00:12";buy;0.84;GBPUSD;1.27043;0;1.27206;"2024-12-18 09:00:00";1.27255;0;-2.52;178.08;21.2;14388
325274164;"2024-12-18 05:00:04";buy;0.84;GBPUSD;1.27042;0;1.27206;"2024-12-18 09:00:00";1.27255;0;-2.52;178.92;21.3;14396
325275884;"2024-12-18 06:00:17";buy;0.92;GBPUSD;1.26975;0;1.27206;"2024-12-18 09:00:00";1.27255;0;-2.76;257.6;28;10783
325275883;"2024-12-18 06:00:14";buy;0.92;GBPUSD;1.26975;0;1.27206;"2024-12-18 09:00:00";1.27255;0;-2.76;257.6;28;10786
324982789;"2024-12-13 05:00:14";sell;0.56;EURUSD;1.04608;0;1.04855;"2024-12-17 10:32:47";1.04904;2.44;-1.68;-165.76;-29.6;365553
324982790;"2024-12-13 05:00:15";sell;0.56;EURUSD;1.04608;0;1.04854;"2024-12-17 10:32:46";1.04904;2.44;-1.68;-165.76;-29.6;365551
324985500;"2024-12-13 07:00:14";sell;0.62;EURUSD;1.0464;0;1.04855;"2024-12-17 10:32:46";1.04904;2.7;-1.86;-163.68;-26.4;358352
324996481;"2024-12-13 11:00:14";sell;0.68;EURUSD;1.04686;0;1.04855;"2024-12-17 10:32:45";1.04904;2.96;-2.04;-148.24;-21.8;343951
324985502;"2024-12-13 07:00:15";sell;0.62;EURUSD;1.0464;0;1.04854;"2024-12-17 10:32:45";1.04904;2.7;-1.86;-163.68;-26.4;358350
324996484;"2024-12-13 11:00:16";sell;0.68;EURUSD;1.04691;0;1.04854;"2024-12-17 10:32:44";1.04904;2.96;-2.04;-144.84;-21.3;343948
325000628;"2024-12-13 12:03:42";sell;0.74;EURUSD;1.04866;0;1.04854;"2024-12-17 10:32:43";1.04903;3.22;-2.22;-27.38;-3.7;340141
